# School
le livre|book
les vacances|holiday
le membre|member
l'hôtel|hotel
la plage|beach
l'invité|guest
l'anniversaire|birthday
Noël|Christmas
le nouvel an|New Year
Pâques|Easter
# Relatives
l'oncle|uncle
la tante|aunt
la grand-mère|grandmother (paternal)
le grand-père|grandfather (paternal)
la grand-mère|grandmother (maternal)
le grand-père|grandfather (maternal)
le mort|death
la tombe|grave
le divorce|divorce
la mariée|bride
le marié|groom
# Hundreds
cent un|101
cent cinq|105
cent dix|110
cent cinquante et un|151
deux cents|200
deux cent deux|202
deux cent six|206
deux cent vingt|220
deux cent soixante-deux|262
trois cents|300
trois cent trois|303
trois cent sept|307
trois cent trente|330
trois cent soixante-treize|373
quatre cents|400
quatre cent quatre|404
quatre cent huit|408
quatre cent quarante|440
quatre cent quatre-vingt- quatre|484
cinq cents|500
cinq cent cinq|505
cinq cent neuf|509
cinq cent cinquante|550
cinq cent quatre-vingt- quinze|595
six cents|600
six cent un|601
six cent six|606
six cent seize|616
six cent soixante|660
sept cents|700
sept cent deux|702
sept cent sept|707
sept cent vingt-sept|727
sept cent soixante-dix|770
huit cents|800
huit cent trois|803
huit cent huit|808
huit cent trente-huit|838
huit cent quatre-vingt|880
neuf cents|900
neuf cent quatre|904
neuf cent neuf|909
neuf cent quarante-neuf|949
neuf cent quatre-vingt-dix|990
# More animals
le tigre|tiger
la souris|mouse (animal)
le rat|rat
le lapin|rabbit
le lion|lion
l'âne|donkey
l'éléphant|elephant
l'oiseau|bird
le coq|cockerel
le pigeon|pigeon
l'oie|goose
l'insecte|insect
le coléoptère|bug
le moustique|mosquito
la mouche|fly
la fourmi|ant
la baleine|whale
le requin|shark
le dauphin|dolphin
l'escargot|snail
la grenouille|frog
# Sport
souvent|often
immédiatement|immediately
soudainement|suddenly
bien que|although
la gymnastique|gymnastics
le tennis|tennis
la course à pied|running
le cyclisme|cycling
le golf|golf
le patinage sur glace|ice skating
le football|football
le basketball|basketball
la natation|swimming
la plongée|diving (under the water)
la randonnée|hiking
# Countries
le Royaume-Uni|United Kingdom
l'Espagne|Spain
la Suisse|Switzerland
l'Italie|Italy
la France|France
l'Allemagne|Germany
la Thaïlande|Thailand
le Singapour|Singapore
la Russie|Russia
le Japon|Japan
l'Israël|Israel
l'Inde|India
la Chine|China
les États-Unis d'Amérique|The United States of America
le Mexique|Mexico
le Canada|Canada
le Chili|Chile
le Brésil|Brazil
l'Argentine|Argentina
l'Afrique du Sud|South Africa
le Nigeria|Nigeria
le Maroc|Morocco
la Libye|Libya
le Kenya|Kenya
l'Algerie|Algeria
l'Égypte|Egypt
la Nouvelle-Zélande|New Zealand
l'Australie|Australia
l'Afrique|Africa
l'Europe|Europe
l'Asie|Asia
l'Amérique|America
# Telling time
un quart d'heure|quarter of an hour
une demi-heure|half an hour
trois quarts d'heure|three quarters of an hour
une heure|1:00
deux heures cinq|2:05
trois heures dix|3:10
quatre heures et quart|4:15
cinq heures vingt|5:20
six heures vingt-cinq|6:25
sept heures et demie|7:30
huit heures trente-cinq|8:35
dix heure moins vingt|9:40
onze heures moins le quart|10:45
douze heures moins dix|11:50
une heure moins cinq|12:55
une heure du matin|one o'clock in the morning
deux heures de l'après-midi|two o'clock in the afternoon
# Dates
semaine dernière|last week
cette semaine|this week
semaine prochaine|next week
année dernière|last year
cette année|this year
année prochaine|next year
mois dernier|last month
ce mois-ci|this month
mois prochain|next month
premier janvier deux mille quatorze|2014-01-01
vingt-cinq février deux mille trois|2003-02-25
douze avril dix-neuf cent quatre-vingt-huit|1988-04-12
treize octobre dix-huit cent quatre-vingt-dix-neuf|1899-10-13
trente septembre dix-neuf cent sept|1907-09-30
douze décembre de l'an deux mille|2000-12-12
# Face and body
le front|forehead
la ride|wrinkle
le menton|chin
la joue|cheek
la barbe|beard
les cils|eyelashes
le sourcil|eyebrow
la taille|waist
la nuque|nape
la poitrine|chest
le pouce|thumb
le petit doigt|little finger
l'annulaire|ring finger
le médius|middle finger
l'index|index finger
le poignet|wrist
l'ongle|fingernail
le talon|heel
la colonne vertébrale|spine
le muscle|muscle
l'os|bone (part of body)
le squelette|skeleton
la côte|rib
la vertèbre|vertebra
# Inside the body
la vessie|bladder
la veine|vein
l'artère|artery
le vagin|vagina
le sperme|sperm
le pénis|penis
la testicule|testicle
# Taste and character
juteux|juicy
épicé|hot (spicy)
salé|salty
brut|raw
bouilli|boiled
timide|shy
gourmand|greedy
strict|strict
sourd|deaf
