# Big Numbers
eenenveertig|41
verven|to paint
douchen|to take a shower
openen|to open (unlock)
op slot doen|to lock
wassen|to wash
bidden|to pray
koken|to cook
# School
het boek|book
de bibliotheek|library
het huiswerk|homework
het examen|exam
de les|lesson
de wetenschap|science
de geschiedenis|history
de kunst|art
het Engels|English
het Frans|French
de pen|pen
het potlood|pencil
drie procent|3%
de eerste|first
de tweede|second (2nd)
de derde|third
de vierde|fourth
