# School
el libro|book
la una de la mañana|one o'clock in the morning
las dos de la tarde|two o'clock in the afternoon
# Dates
la semana pasada|last week
esta semana|this week
la próxima semana|next week
el año pasado|last year
este año|this year
el año siguiente|next year
el mes pasado|last month
este mes|this month
el mes siguiente|next month
el uno de enero de dos mil catorce|2014-01-01
el veinticinco de febrero de dos mil tres|2003-02-25
el doce de abril de mil novecientos ochenta y ocho|1988-04-12
el trece de octubre de mil ochocientos noventa y nueve|1899-10-13
el treinta de septiembre de mil novecientos siete|1907-09-30
el doce de diciembre de dos mil|2000-12-12
# Face and body
la frente|forehead
la arruga|wrinkle
la barbilla|chin
la mejilla|cheek
la barba|beard
las pestañas|eyelashes
la ceja|eyebrow
la cintura|waist
la nuca|nape
el pecho|chest
el pulgar|thumb
el dedo meñique|little finger
el dedo anular|ring finger
el dedo del medio|middle finger
el dedo índice|index finger
la muñeca|wrist
la uña|fingernail
el talón|heel
la espina dorsal|spine
el músculo|muscle
el hueso|bone (part of body)
el esqueleto|skeleton
la costilla|rib
la vértebra|vertebra
# Inside the body
la vejiga|bladder
la vena|vein
la arteria|artery
la vagina|vagina
el esperma|sperm
el pene|penis
el testículo|testicle
# Taste and character
jugoso|juicy
picante|hot (spicy)
salado|salty
crudo|raw
hervido|boiled
tímido|shy
codicioso|greedy
estricto|strict
sordo|deaf
