# School
il libro|book
improvvisamente|suddenly
anche se|although
la ginnastica|gymnastics
il tennis|tennis
la corsa|running
il ciclismo|cycling
il golf|golf
il pattinaggio su ghiaccio|ice skating
il calcio|football
la pallacanestro|basketball
il nuoto|swimming
l'immersione|diving (under the water)
l'escursionismo|hiking
# Countries
il Regno Unito|United Kingdom
la Spagna|Spain
la Svizzera|Switzerland
l'Italia|Italy
la Francia|France
la Germania|Germany
la Tailandia|Thailand
Singapore|Singapore
la Russia|Russia
il Giappone|Japan
Israele|Israel
l'India|India
la Cina|China
gli Stati Uniti d'America|The United States of America
il Messico|Mexico
il Canada|Canada
il Cile|Chile
il Brasile|Brazil
l'Argentina|Argentina
il Sud Africa|South Africa
la Nigeria|Nigeria
il Marocco|Morocco
la Libia|Libya
il Kenia|Kenya
l'Algeria|Algeria
l'Egitto|Egypt
la Nuova Zelanda|New Zealand
l'Australia|Australia
l'Africa|Africa
l'Europa|Europe
l'Asia|Asia
l'America|America
# Telling time
il quarto d'ora|quarter of an hour
la mezz'ora|half an hour
i tre quarti d'ora|three quarters of an hour
l'una in punto|1:00
le due e cinque|2:05
le tre e dieci|3:10
le quattro e un quarto|4:15
le cinque e venti|5:20
le sei e venticinque|6:25
le sette e mezza|7:30
le otto e trentacinque|8:35
le dieci meno vento|9:40
le undici meno un quarto|10:45
le dodici meno dieci|11:50
l'una meno cinque|12:55
l'una del mattino|one o'clock in the morning
le due del pomeriggio|two o'clock in the afternoon
# Dates
la scorsa settimana|last week
questa settimana|this week
la prossima settimana|next week
lo scorso anno|last year
quest'anno|this year
il prossimo anno|next year
il scorso mese|last month
questo mese|this month
il prossimo mese|next month
il primo gennaio duemilaquattordici|2014-01-01
il venticinque febbraio duemilatré|2003-02-25
il dodici aprile millenovecentottantotto|1988-04-12
il tredici ottobre milleottocentonovantanove|1899-10-13
il trenta settembre millenovecentosette|1907-09-30
il dodici dicembre duemila|2000-12-12
# Face and body
la fronte|forehead
la ruga|wrinkle
il mento|chin
la guancia|cheek
la barba|beard
le ciglia|eyelashes
il sopracciglio|eyebrow
la vita|waist
la nuca|nape
il petto|chest
il pollice|thumb
il mignolo|little finger
l'anulare|ring finger
il dito medio|middle finger
l'indice|index finger
il polso|wrist
l'unghia|fingernail
il tallone|heel
la spina dorsale|spine
il muscolo|muscle
l'osso|bone (part of body)
lo scheletro|skeleton
la costola|rib
la vertebra|vertebra
# Inside the body
la vescica|bladder
la vena|vein
l'arteria|artery
la vagina|vagina
lo sperma|sperm
il pene|penis
il testicolo|testicle
# Taste and character
succoso|juicy
piccante|hot (spicy)
salato|salty
crudo|raw
bollito|boiled
timido|shy
avido|greedy
severo|strict
sordo|deaf
