# Pronouns
ich|I
satt|full (from eating)
krank|sick
gesund|healthy
wütend|angry
tief|low
hoch|high
gerade|straight (line)
jeder|every
immer|always
# Amounts
eigentlich|actually
wieder|again
schon|already
weniger|less
höchst|most
mehr|more
Ich möchte mehr|I want more
keine|none
sehr|very
# Animals
das Tier|animal
das Schwein|pig
die Kuh|cow
das Pferd|horse
der Hund|dog
das Schaf|sheep
der Affe|monkey
die Katze|cat
der Bär|bear
das Huhn|chicken (animal)
die Ente|duck
der Schmetterling|butterfly
die Biene|bee
der Fisch|fish (animal)
die Spinne|spider
die Schlange|snake
# Place and taste
außen|outside
innen|inside
fern|far
nahe|close
unter|below
über|above
neben|beside
vorne|front
hinten|back (position)
süß|sweet
sauer|sour
# Character
eigenartig|strange
weich|soft
hart|hard
süß|cute
blöd|stupid
verrückt|crazy
beschäftigt|busy
groß|tall
klein|short (height)
besorgt|worried
überrascht|surprised
cool|cool
brav|well-behaved
böse|evil
klug|clever
kalt|cold (adjective)
heiß|hot (temperature)
# The body
der Kopf|head
die Nase|nose
das Haar|hair
der Mund|mouth
das Ohr|ear
das Auge|eye
die Hand|hand
der Fuß|foot
das Herz|heart
das Gehirn|brain
# Action verbs
ziehen|to pull (... open)
drücken|to push (... open)
drücken|to press (a button)
schlagen|to hit
fangen|to catch
kämpfen|to fight
werfen|to throw
laufen|to run
lesen|to read
schreiben|to write
reparieren|to fix
zählen|to count
schneiden|to cut
verkaufen|to sell
kaufen|to buy
bezahlen|to pay
lernen|to study
träumen|to dream
schlafen|to sleep
spielen|to play
feiern|to celebrate
ausruhen|to rest
genießen|to enjoy
putzen|to clean
# Home and city
die Schule|school
das Haus|house
die Tür|door
der Ehemann|husband
die Ehefrau|wife
die Hochzeit|wedding
die Person|person
das Auto|car
das Zuhause|home
die Stadt|city
die Zahl|number
